last_name,first_name,gender,state,district,party,url,address,phone,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,fec_id,fec_id2,fec_id3,total
Tester,Jon,M,MT,,Democrat,http://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,SenatorTester,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,1829,N00027605,S314,1020176,412244,20928,Jon Tester,gIQAw67AAP,40702,Jon Tester,S6MT00162,,,11768908
Sullivan,Dan,M,AK,,Republican,http://www.sullivan.senate.gov,702 Hart Senate Office Building Washington DC 20510,202-224-3004,SenDanSullivan,SenDanSullivan,,,S001198,2290,N00035774,S383,0,412665,0,,,0,,S4AK00214,,,7642600
Stabenow,Debbie,F,MI,,Democrat,http://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,SenStabenow,,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,1531,N00004118,S284,45451,300093,515,Debbie Stabenow,gIQA5t8DAP,29732,Debbie Stabenow,S8MI00281,H6MI08163,,11088591
Shelby,Richard,M,AL,,Republican,http://www.shelby.senate.gov,304 Russell Senate Office Building Washington DC 20510,202-224-5744,SenShelby,RichardShelby,SenatorRichardShelby,UCyMzDCRZrmhr_OGDjVuAeJw,S000320,1049,N00009920,S184,1859,300089,53266,Richard Shelby,gIQARAfM9O,14659,Richard Shelby,S6AL00013,,,6564229
Shaheen,Jeanne,F,NH,,Democrat,http://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,SenatorShaheen,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,1901,N00024790,S324,22850,412323,1663,Jeanne Shaheen,gIQAZP1b9O,40906,Jeanne Shaheen,S0NH00219,,,8785073
Sessions,Jefferson,M,AL,,Republican,http://www.sessions.senate.gov,326 Russell Senate Office Building Washington DC 20510,202-224-4124,SenatorSessions,jeffsessions,SenatorSessions,UCd5Nv9gL89TCR03kD2SfaIQ,S001141,1548,N00003062,S261,44441,300088,443,Jeff Sessions,gIQAHXOBAP,49700,Jeff Sessions,S6AL00195,,,1649991
Scott,Tim,M,SC,,Republican,http://www.scott.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-6121,SenatorTimScott,SenatorTimScott,SenatorTimScott,UCSfAsbG80CNInSKrtpKoL-w,S001184,2056,N00031782,S365,623506,412471,11940,Tim Scott,gIQAKxVWKP,21173,Tim Scott,S4SC00240,H0SC01279,,7988184
Schumer,Charles,M,NY,,Democrat,http://www.schumer.senate.gov,322 Hart Senate Office Building Washington DC 20510,202-224-6542,SenSchumer,chuckschumer,SenatorSchumer,UC-ABttxh8uQv_10qmwGaidw,S000148,1036,N00001093,S270,5929,300087,26976,Chuck Schumer,gIQAOSQN9O,14858,Chuck Schumer,S8NY00082,H0NY16010,,29733088
Schatz,Brian,M,HI,,Democrat,http://www.schatz.senate.gov,722 Hart Senate Office Building Washington DC 20510,202-224-3934,SenBrianSchatz,SenBrianSchatz,senbrianschatz,UC8-mSYp2WqBiB_5iwtwKfow,S001194,2173,N00028138,S353,87784,412507,17852,Brian E. Schatz,a91363f0-5047-11e2-950a-7863a013264b,41112,Brian Schatz,S4HI00136,H6HI02244,,7110285
Sasse,Benjamin,M,NE,,Republican,http://www.sasse.senate.gov,386A Russell Senate Office Building Washington DC 20510,202-224-4224,SenSasse,SenatorSasse,,,S001197,2289,N00035544,S382,0,412671,0,,,0,,S4NE00090,,,5399080
Sanders,Bernard,M,VT,,Independent,http://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,SenSanders,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,1010,N00000528,S313,994,400357,27110,Bernie Sanders,gIQABiDjMP,29147,Bernie Sanders,S4VT00033,H8VT01016,,2586831
Rubio,Marco,M,FL,,Republican,http://www.rubio.senate.gov,284 Russell Senate Office Building Washington DC 20510,202-224-3041,SenRubioPress,SenatorMarcoRubio,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg,R000595,2084,N00030612,S350,87599,412491,1601,Marco Rubio,gIQA5xxt6O,41102,Marco Rubio,S0FL00338,,,18338049
Rounds,Mike,M,SD,,Republican,http://www.rounds.senate.gov,502 Hart Senate Office Building Washington DC 20510,202-224-5842,SenatorRounds,SenatorMikeRounds,,,R000605,2288,N00035187,S381,0,412669,0,,,0,,S4SD00049,,,5218310
Roberts,Pat,M,KS,,Republican,http://www.roberts.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-4774,SenPatRoberts,SenPatRoberts,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw,R000307,968,N00005285,S260,16354,300083,26866,Pat Roberts,gIQAUECAAP,14852,Pat Roberts,S6KS00080,H0KS01016,,7987469
Risch,James,M,ID,,Republican,http://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,SenatorRisch,,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,1896,N00029441,S323,1020034,412322,2919,Jim Risch,gIQAWIdW9O,40902,Jim Risch,S8ID00092,,,2215307
Reid,Harry,M,NV,,Democrat,http://www.reid.senate.gov,522 Hart Senate Office Building Washington DC 20510,202-224-3542,SenatorReid,SenatorReid,SenatorReid,UCxWLwXTG6_qs8K-68mCySRA,R000146,952,N00009922,S198,1683,300082,53320,Harry Reid,gIQA8MlN9O,15054,Harry Reid,S6NV00028,,,20515849
Reed,John,M,RI,,Democrat,http://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,SenJackReed,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,949,N00000362,S259,24239,300081,27060,Jack Reed,gIQAT2gt9O,29142,Jack Reed (politician),S6RI00163,H0RI02071,,3806210
Portman,Robert,M,OH,,Republican,http://www.portman.senate.gov,448 Russell Senate Office Building Washington DC 20510,202-224-3353,SenRobPortman,senrobportman,SenRobPortman,UCwunkd8Zs-yAWKQwnwBp7ew,P000449,924,N00003682,S349,31819,400325,27008,Rob Portman,gIQAGuioAP,29386,Rob Portman,S0OH00133,H4OH02032,,24994376
Peters,Gary,M,MI,,Democrat,http://www.peters.senate.gov,724 Hart Senate Office Building Washington DC 20510,202-224-6221,SenGaryPeters,SenatorGaryPeters,RepGaryPeters,UC7LYNbnKSK2VZqQ98YROWHQ,P000595,1929,N00029277,S380,50199,412305,8749,Gary Peters,gIQA36BUKP,20923,Gary Peters (Michigan politician),S4MI00355,H8MI09068,,10445762
Perdue,David,M,GA,,Republican,http://www.perdue.senate.gov,383 Russell Senate Office Building Washington DC 20510,202-224-3521,sendavidperdue,SenatorDavidPerdue,,,P000612,2286,N00035516,S379,0,412666,0,,,0,,S4GA11285,,,12012005
Paul,Rand,M,KY,,Republican,http://www.paul.senate.gov,167 Russell Senate Office Building Washington DC 20510,202-224-4343,,SenatorRandPaul,SenatorRandPaul,UCeM9I-20oWUs8daIIpsNHoQ,P000603,2082,N00030836,S348,9265241,412492,117285,Rand Paul,gIQA5AakAP,41104,Rand Paul,S0KY00156,,,9120500
Nelson,Bill,M,FL,,Democrat,http://www.billnelson.senate.gov,716 Hart Senate Office Building Washington DC 20510,202-224-5274,SenBillNelson,,senbillnelson,UC1Iir7_h98mI9-hHzrDJWpw,N000032,859,N00009926,S282,1931,300078,1606,Bill Nelson (Florida),gIQAlLuy9O,14651,Bill Nelson,S8FL00166,,,14335446
Murray,Patty,F,WA,,Democrat,http://www.murray.senate.gov,154 Russell Senate Office Building Washington DC 20510,202-224-2621,PattyMurray,,SenatorPattyMurray,UCb8jq3TvQ3AzKsexhWfFLoA,M001111,1409,N00007876,S229,25277,300076,53358,Patty Murray,gIQARXaU9O,49308,Patty Murray,S2WA00189,,,14296809
Murphy,Christopher,M,CT,,Democrat,http://www.murphy.senate.gov,136 Hart Senate Office Building Washington DC 20510,202-224-4041,ChrisMurphyCT,chrismurphyct,senchrismurphy,UCbcEa40PIFpLpdDe06n3F3Q,M001169,1837,N00027566,S364,1021270,412194,17189,Christopher S. Murphy,gIQAXlFYMP,20707,Chris Murphy (politician),S2CT00132,H6CT05124,,9159134
Murkowski,Lisa,F,AK,,Republican,http://www.murkowski.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-6665,LisaMurkowski,SenLisaMurkowski,senatormurkowski,UCaigku16AErqvD0wRuwGb9A,M001153,1694,N00026050,S288,1004138,300075,15841,Lisa Murkowski,gIQA6VzBAP,40300,Lisa Murkowski,S4AK00099,,,7228077
Moran,Jerry,M,KS,,Republican,http://www.moran.senate.gov,521 Dirksen Senate Office Building Washington DC 20510,202-224-6521,JerryMoran,jerrymoran,senatorjerrymoran,UC1oRxeUPam6-53wPBZ3N02A,M000934,1507,N00005282,S347,45469,400284,542,Jerry Moran,gIQAdVZfAP,29722,Jerry Moran,S0KS00091,H6KS01096,,6742643
Mikulski,Barbara,F,MD,,Democrat,http://www.mikulski.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-4654,SenatorBarb,SenatorMikulski,senatormikulski,UCaR3dD8SdaLMM432QSM5wmw,M000702,802,N00001945,S182,1396,300073,53304,Barbara Mikulski,gIQApKSAAP,14440,Barbara Mikulski,S6MD00140,,,4540708
Merkley,Jeff,M,OR,,Democrat,http://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,1900,N00029303,S322,1029842,412325,23644,Jeff Merkley,gIQAosnb9O,40908,Jeff Merkley,S8OR00207,,,6070697
Men̩ndez,Robert,M,NJ,,Democrat,http://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,SenatorMenendez,senatormenendez,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,791,N00000699,S306,29608,400272,26961,Bob Menendez,gIQAYgYw6O,29373,Bob Menendez,S6NJ00289,H2NJ13075,,16125129
McConnell,Mitch,M,KY,,Republican,http://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,McConnellPress,mitchmcconnell,,,M000355,1395,N00003389,S174,2351,300072,53298,Mitch McConnell,gIQAYR2b9O,14921,Mitch McConnell,S2KY00012,,,29011314
McCaskill,Claire,F,MO,,Democrat,http://www.mccaskill.senate.gov,730 Hart Senate Office Building Washington DC 20510,202-224-6154,McCaskillOffice,senatormccaskill,SenatorMcCaskill,UCnarZ9jmNhI-eDcEPBwqMFw,M001170,1820,N00027694,S312,1012014,412243,2109,Claire McCaskill,gIQAiqnb9O,40701,Claire McCaskill,S6MO00305,P80005721,,15492255
McCain,John,M,AZ,,Republican,http://www.mccain.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-2235,SenJohnMcCain,johnmccain,SenatorJohnMcCain,UC9IJssXDUaKHzwx6gW4wEoA,M000303,754,N00006424,S197,7476,300071,53270,John McCain,gIQAXQHr9O,15039,John McCain,S6AZ00019,P80002801,,11244096
Markey,Edward,M,MA,,Democrat,http://www.markey.senate.gov,255 Dirksen Senate Office Building Washington DC 20510,202-224-2742,MarkeyMemo,EdJMarkey,RepMarkey,UCT1ujew5yQy2uMhGrjiKHoA,M000133,735,N00000270,S369,260,400253,26900,Ed Markey,gIQAdQUz9O,14435,Ed Markey,S4MA00028,H6MA07101,,1933
Manchin,Joe,M,WV,,Democrat,http://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,Sen_JoeManchin,JoeManchinIII,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,1983,N00032838,S338,62864,412391,7547,Joe Manchin III,gIQA82bVBP,40915,Joe Manchin,S0WV00090,,,9427904
Lee,Mike,M,UT,,Republican,http://www.lee.senate.gov,361A Russell Senate Office Building Washington DC 20510,202-224-5444,SenMikeLee,senatormikelee,senatormikelee,UCplVxs_j_sLAt0fkplXcl4A,L000577,2080,N00031696,S346,9267977,412495,66395,Mike Lee,gIQAwTVWKP,41110,Mike Lee (U.S. politician),S0UT00165,,,4561172
Leahy,Patrick,M,VT,,Democrat,http://www.leahy.senate.gov,437 Russell Senate Office Building Washington DC 20510,202-224-4242,SenatorLeahy,SenatorPatrickLeahy,SenatorPatrickLeahy,UC46QHVobf7FO-tWehsRoDog,L000174,1383,N00009918,S057,1552,300065,53353,Patrick Leahy,gIQAQnnb9O,14307,Patrick Leahy,S4VT00017,,,4773781
Lankford,James,M,OK,,Republican,http://www.lankford.senate.gov,316 Hart Senate Office Building Washington DC 20510,202-224-5754,SenatorLankford,SenatorLankford,SenatorLankford,UCz8T6sK5fEycyWmVz6Vpe5Q,L000575,2050,N00031129,S378,1033847,412464,124938,James Lankford,gIQAcjhZKP,21166,James Lankford,H0OK05114,,,(null)
Klobuchar,Amy,F,MN,,Democrat,http://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244,,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,1826,N00027500,S311,83701,412242,65092,Amy Klobuchar,gIQA5G259O,40700,Amy Klobuchar,S6MN00267,,,8055280
Kirk,Mark,M,IL,,Republican,http://www.kirk.senate.gov,524 Hart Senate Office Building Washington DC 20510,202-224-2854,SenatorKirk,SenatorKirk,SenatorKirk,UCJ-pgDYehtW_7VdKtNuv7EA,K000360,1647,N00012539,S339,85221,400222,33502,Mark Kirk,gIQAfhXHAP,20115,Mark Kirk,S0IL00261,H0IL10120,,19067733
King,Angus,M,ME,,Independent,http://www.king.senate.gov,133 Hart Senate Office Building Washington DC 20510,202-224-5344,SenAngusKing,SenatorAngusSKingJr,SenatorAngusKing,UCpp6lGvrmt0XU_lnD4Ak0gA,K000383,2185,N00034580,S363,37413,412545,22381,Angus King,f79ee714-4bb6-11e2-8758-b64a2997a921,41300,Angus King,S2ME00109,,,2757205
Kaine,Timothy,M,VA,,Democrat,http://www.kaine.senate.gov,231 Russell Senate Office Building Washington DC 20510,202-224-4024,SenKaineOffice,SenatorKaine,SenatorTimKaine,UC27LgTZlUnBQoNEQFZdn9LA,K000384,2176,N00033177,S362,49219,412582,50772,Tim Kaine,gIQAem3o9O,41305,Tim Kaine,S2VA00142,,,15354743
Johnson,Ron,M,WI,,Republican,http://www.ronjohnson.senate.gov,328 Hart Senate Office Building Washington DC 20510,202-224-5323,SenRonJohnson,senronjohnson,SenatorRonJohnson,UCG9XyTVtOAs7VX_q_QVHoaw,J000293,2086,N00032546,S345,62835,412496,126217,Ron Johnson (Wisconsin),gIQAYIfTKP,41111,Ron Johnson (U.S. politician),S0WI00197,,,13348433
Isakson,John,M,GA,,Republican,http://www.isakson.senate.gov,131 Russell Senate Office Building Washington DC 20510,202-224-3643,SenatorIsakson,,SenatorIsakson,UCO80zDwuLZHtGr-KOfl_XCQ,I000055,1608,N00002593,S305,59135,400194,1721,Johnny Isakson,gIQAkTA2DP,29909,Johnny Isakson,S6GA00119,H8GA06146,,10961357
Inhofe,James,M,OK,,Republican,http://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,InhofePress,jiminhofe,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,583,N00005582,S236,5619,300055,27027,Jim Inhofe,gIQASu669O,15424,Jim Inhofe,S4OK00083,H6OK01102,,4077201
Hoeven,John,M,ND,,Republican,http://www.hoeven.senate.gov,338 Russell Senate Office Building Washington DC 20510,202-224-2551,SenJohnHoeven,SenatorJohnHoeven,senatorjohnhoevennd,UC1kQIC2Q_Fq9_NRqdb6eHiw,H001061,2079,N00031688,S344,85233,412494,41788,John Hoeven,gIQA8Pwz6O,41107,John Hoeven,S0ND00093,,,5214873
Hirono,Mazie,F,HI,,Democrat,http://www.hirono.senate.gov,330 Hart Senate Office Building Washington DC 20510,202-224-6361,MazieHirono,senatorhirono,CongresswomanHirono,UCcoKhxad156flzPYJ8JMFOA,H001042,1844,N00028139,S361,91216,412200,1677,Mazie K. Hirono,gIQARL7UAP,20713,Mazie Hirono,S2HI00106,H6HI02251,,4820763
Heller,Dean,M,NV,,Republican,http://www.heller.senate.gov,324 Hart Senate Office Building Washington DC 20510,202-224-6244,SenDeanHeller,SenDeanHeller,SenDeanHeller,UCTS6f940sIirkO6ICyx4ksw,H001041,1863,N00027522,S352,1012368,412218,2291,Dean Heller,gIQAljK0DP,20730,Dean Heller,S2NV00183,H6NV02164,,8236281
Heitkamp,Heidi,F,ND,,Democrat,http://www.heitkamp.senate.gov,110 Hart Senate Office Building Washington DC 20510,202-224-2043,SenatorHeitkamp,SenatorHeidiHeitkamp,senatorheidiheitkamp,UCsIiu6s5KJ_VYzpT_b1Jh4g,H001069,2174,N00033782,S360,95414,412554,41716,Heidi Heitkamp,135fbac8-4bbc-11e2-8758-b64a2997a921,41303,Heidi Heitkamp,S2ND00099,,,4968569
Heinrich,Martin,M,NM,,Democrat,http://www.heinrich.senate.gov,303 Hart Senate Office Building Washington DC 20510,202-224-5521,MartinHeinrich,MartinHeinrich,SenMartinHeinrich,UCBxh8IK5sMxY0Ln_0G2NYcg,H001046,1937,N00029835,S359,1030686,412281,74517,Martin Heinrich,gIQAkCzTAP,20930,Martin Heinrich,S2NM00088,H8NM01224,,5846318
Hatch,Orrin,M,UT,,Republican,http://www.hatch.senate.gov,104 Hart Senate Office Building Washington DC 20510,202-224-5251,SenOrrinHatch,senatororrinhatch,SenatorOrrinHatch,UCQUPyPV_SR435OsPiFNIWPQ,H000338,1351,N00009869,S118,189,300052,53352,Orrin Hatch,gIQAzJiz9O,14503,Orrin Hatch,S6UT00063,P00003806,,11940777
Grassley,Charles,M,IA,,Republican,http://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,202-224-3744,ChuckGrassley,grassley,senchuckgrassley,UCiCPRkcLMInpDeOqGkMTt4w,G000386,457,N00001758,S153,1167,300048,53293,Chuck Grassley,gIQAxsWx9O,14226,Chuck Grassley,S0IA00028,,,7408804
Graham,Lindsey,M,SC,,Republican,http://www.lgraham.senate.gov,290 Russell Senate Office Building Washington DC 20510,202-224-5972,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,452,N00009975,S293,36782,300047,21992,Lindsey Graham,gIQAEdOu9O,29566,Lindsey Graham,S0SC00149,H4SC03087,,10204459
Gillibrand,Kirsten,F,NY,,Democrat,http://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,,,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,1866,N00027658,S331,1022862,412223,65147,Kirsten Gillibrand,gIQAz4Kt9O,20735,Kirsten Gillibrand,S0NY00410,H6NY20167,,26926467
Gardner,Cory,M,CO,,Republican,http://www.gardner.senate.gov,354 Russell Senate Office Building Washington DC 20510,202-224-5941,SenCoryGardner,SenCoryGardner,,UC7Vi5vAFb7piu_BNwrYDBxQ,G000562,1998,N00030780,S377,623308,412406,30004,Cory Gardner,gIQAAaFWKP,21112,Cory Gardner,H0CO04122,,,(null)
Franken,Alan,M,MN,,Democrat,http://www.franken.senate.gov,309 Hart Senate Office Building Washington DC 20510,202-224-5641,,,SenatorFranken,UCMFNp5ybWmz6IlSXmPacTOw,F000457,1969,N00029016,S332,23334,412378,108924,Al Franken,gIQAnCqo9O,40904,Al Franken,S8MN00438,,,10447332
Flake,Jeff,M,AZ,,Republican,http://www.flake.senate.gov,413 Russell Senate Office Building Washington DC 20510,202-224-4521,JeffFlake,senatorjeffflake,flakeoffice,UCPSnRxko_G21KzwgXmOZaeQ,F000444,1633,N00009573,S358,87582,400134,28128,Jeff Flake,gIQAU2XIAP,20100,Jeff Flake,S2AZ00141,H0AZ01184,,8052033
Fischer,Deb,F,NE,,Republican,http://www.fischer.senate.gov,454 Russell Senate Office Building Washington DC 20510,202-224-6551,SenatorFischer,senatordebfischer,senatordebfischer,UCrbEfZaG_WhB0PBHI1hefPQ,F000463,2179,N00033443,S357,1034067,412556,41963,Deb Fischer,15a67e5c-4bb7-11e2-8758-b64a2997a921,41302,Deb Fischer,S2NE00094,,,5026386
Feinstein,Dianne,F,CA,,Democrat,http://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,SenFeinstein,senatorfeinstein,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,1332,N00007364,S221,13061,300043,53273,Dianne Feinstein,gIQAnrCyDP,49300,Dianne Feinstein,S0CA00199,,,8035860
Ernst,Joni,F,IA,,Republican,http://www.ernst.senate.gov,111 Russell Senate Office Building Washington DC 20510,202-224-3254,SenJoniErnst,senjoniernst,,UCLwrmtF_84FIcK3TyMs4MIw,E000295,2283,N00035483,S376,0,412667,0,,,0,,S4IA00129,,,2839275
Enzi,Michael,M,WY,,Republican,http://www.enzi.senate.gov,379A Russell Senate Office Building Washington DC 20510,202-224-3424,SenatorEnzi,mikeenzi,senatorenzi,UCipEXEDAKVPj_B0cQjaikEA,E000285,1542,N00006249,S254,45824,300041,558,Mike Enzi,gIQAAWfCAP,49706,Mike Enzi,S6WY00126,,,3343378
Durbin,Richard,M,IL,,Democrat,http://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,SenatorDurbin,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,326,N00004981,S253,6741,300038,26847,Dick Durbin,gIQArl8V9O,15021,Dick Durbin,S6IL00151,H2IL20026,,8153861
Donnelly,Joe,M,IN,,Democrat,http://www.donnelly.senate.gov,720 Hart Senate Office Building Washington DC 20510,202-224-4814,SenDonnelly,senatordonnelly,sendonnelly,UC7H5Lz0BUaTRlWXk9QsIwsg,D000607,1850,N00026586,S356,1012000,412205,34212,Joe Donnelly,gIQAM8hOAP,20717,Joe Donnelly,S2IN00091,H4IN02101,,5429667
Daines,Steve,M,MT,,Republican,http://www.daines.senate.gov,320 Hart Senate Office Building Washington DC 20510,202-224-2651,SteveDaines,SteveDainesMT,SteveDainesMT,UC-ny-W5mEUGytiyMdXbQ20Q,D000618,2138,N00033054,S375,1034037,412549,135720,Steve Daines,a8a98402-4bbb-11e2-8758-b64a2997a921,21338,Steve Daines,S2MT00096,H2MT01060,,311415
Cruz,Ted,M,TX,,Republican,http://www.cruz.senate.gov,404 Russell Senate Office Building Washington DC 20510,202-224-5922,SenTedCruz,SenatorTedCruz,sentedcruz,UCOTZ-6H1rri1lSsj6IzhUyw,C001098,2175,N00033085,S355,1019953,412573,135705,Ted Cruz,b8d4a00a-4bbb-11e2-8758-b64a2997a921,41304,Ted Cruz,S2TX00312,,,14136433
Crapo,Michael,M,ID,,Republican,http://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,MikeCrapo,mikecrapo,senatorcrapo,UCMHzKHg1BE7dEcFjnayw1lA,C000880,250,N00006267,S266,26440,300030,26830,Mike Crapo,gIQA3hslDP,29345,Mike Crapo,S8ID00027,H2ID02034,,5724961
Cotton,Tom,M,AR,,Republican,http://www.cotton.senate.gov,124 Russell Senate Office Building Washington DC 20510,202-224-2353,SenTomCotton,SenatorTomCotton,RepTomCotton,UCXEk6mokWBajIpNatbjnwSg,C001095,2098,N00033363,S374,63928,412508,135651,Tom Cotton,8803d7f2-4bbb-11e2-8758-b64a2997a921,21301,Tom Cotton,H2AR04083,,,(null)
Cornyn,John,M,TX,,Republican,http://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,JohnCornyn,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,1692,N00024852,S287,93131,300027,15375,John Cornyn,gIQAy80L9O,40305,John Cornyn,S2TX00106,,,14838958
