DonorOrganization	RecipientCandidateNameNormalized	RecipientCandidateParty	RecipientCandidateStatus	total
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Bill Nelson	Democratic	Won	2000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Bill Nelson	\N	\N	2500
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Byron Dorgan	Democratic	No Status	1000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Charles Schumer	Democratic	No Status	1000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	David Vitter	Republican	No Status	1000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Frank Lautenberg	\N	\N	2000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Harry Reid	Democratic	No Status	5000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Harry Reid	\N	\N	1000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Jerry Moran	Republican	No Status	1500
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Jim Demint	Republican	No Status	1000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	John Rockefeller	\N	\N	2500
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	John Thune	Republican	No Status	3500
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Max Baucus	\N	\N	1000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Mitch Mcconnell	Republican	Won	1000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Olympia Snowe	\N	\N	2000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Orrin Hatch	Republican	Won	1500
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Patty Murray	Democratic	Won	2000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Robert Men�ndez	Democratic	Won	1000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Ron Wyden	Democratic	No Status	1500
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Susan Collins	Republican	Won	1000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC)	Susan Collins	\N	\N	3000
ALLIANCE ONE INTERNATIONAL, INC. PAC	Kay R Hagan	\N	\N	2000
ALLIANCE ONE INTERNATIONAL, INC. PAC	Richard Burr	Republican	No Status	4000
AMEGY BANK  NATIONAL  ASSOC. POLITICAL ACTION COMMITTEE	Bill White	\N	\N	5000
AMEGY BANK  NATIONAL  ASSOC. POLITICAL ACTION COMMITTEE	Mark Robert Warner	\N	\N	1500
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Benjamin E Sasse	Republican	Won	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Bob Corker	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Bruce L Poliquin	\N	\N	3000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Charles Grassley	Republican	No Status	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Cory A Booker	Democratic	Won	2500
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Dan Sullivan	Republican	Won	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Daniel R Coats	Republican	No Status	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	David Perdue	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	David Vitter	Republican	No Status	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	David Vitter	\N	\N	2500
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	David Young	Republican	No Status	2500
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Dean Heller	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Debra S Fischer	Republican	Won	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Evan Bayh	Democratic	No Status	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	James Inhofe	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Jeff Flake	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Jefferson Sessions	Republican	Won	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Jerry Moran	Republican	No Status	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Jerry Moran	Republican	Not Yet A Statutory Candidate	2500
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Jim Demint	Republican	No Status	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	John Barrasso	Republican	Won	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	John Boozman	Republican	No Status	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	John Cornyn	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	John Hoeven	Republican	No Status	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	John Isakson	Republican	No Status	15000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	John Mccain	Republican	No Status	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	John Thune	Republican	No Status	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Joni K Ernst	Republican	Won	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Kelly A Ayotte	Republican	No Status	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Lamar Alexander	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Lindsey Graham	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Lisa Murkowski	Republican	Not Yet A Statutory Candidate	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Lisa Murkowski	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Marion Michael Rounds	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Mark Kirk	Republican	No Status	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Mark Robert Warner	Democratic	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Michael Castle	Republican	No Status	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Michael Crapo	Republican	No Status	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Michael Enzi	Republican	Won	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Mike Lee	Republican	No Status	3000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Mitch Mcconnell	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Mr James E Risch	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Orrin Hatch	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Pat Roberts	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Patrick Joseph Toomey	Republican	No Status	15000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Patty Murray	Democratic	Won	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Rafael Edward Ted Cruz	Republican	Won	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Rand Paul	Republican	No Status	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Richard Burr	Republican	No Status	15000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Rob Portman	Republican	No Status	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Roger Wicker	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Ronald Harold Johnson	Republican	No Status	15000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Roy Blunt	Republican	No Status	15000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Saxby Chambliss	Republican	Term Ended	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Saxby Chambliss	\N	\N	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Shelley Capito	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Susan Collins	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Thad Cochran	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Thom R Tillis	Republican	Won	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Thomas Coburn	Republican	No Status	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Timothy Scott	Republican	No Status	5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	Timothy Scott	Republican	Won	10000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	William Cassidy	Republican	Won	10000
Ab International	Thom R Tillis	Republican	Won	3000
Abs-cbn International	Cory A Booker	Democratic	Won	200
Ac International Inc	Marco Rubio	Republican	No Status	240
Access International Capital, Llc	Dan Winslow	Republican	Not Yet A Statutory Candidate	250
Access National Bank	Mary Landrieu	\N	\N	1000
Access National Bank	Timothy Michael Kaine	Democratic	Won	500
Acpac Aca International Pac	Roy Blunt	\N	\N	-2000
Acpac Aca International Political Action Committee	Rob Portman	\N	\N	-2500
Action Committee For Rural Electrification. (acre) National Rural Electric Cooperative	John Hoeven	\N	\N	1250
Active International	Kirsten Gillibrand	Democratic	No Status	750
Active International	Kirsten Gillibrand	Democratic	Won	1000
Adjusters International	Orrin Hatch	Republican	Won	500
Advanced Solutions International	Mark Robert Warner	Democratic	Won	250
Advanced Solutions International, Inc.	Jon Tester	Democratic	Won	500
Advanced Solutions International, Inc.	Timothy Michael Kaine	Democratic	Won	550
Advansoft International	Mark Robert Warner	Democratic	Won	300
Advent International	Elizabeth Warren	Democratic	Won	250
Advent International	Gabriel Gomez	Republican	Not Yet A Statutory Candidate	37350
Aerolease International, Inc.	Michael F Bennet	Democratic	No Status	1000
Afex International	Jeffrey Alan Merkley	Democratic	Won	500
Afex International Inc	Claire Mccaskill	Democratic	Won	250
Afex International Inc.	Claire Mccaskill	Democratic	Won	250
Agexplore International	Claire Mccaskill	Democratic	Won	2400
Agt International	Richard Blumenthal	Democratic	No Status	250
Ahs International	Joe Sestak	Democratic	Not Yet A Statutory Candidate	2200
Air National Guard	Dan Sullivan	Republican	Won	250
Air Transport International	John Mccain	\N	\N	500
Air Transport International	Patrick Joseph Toomey	Republican	No Status	2090
Airport Council International	Maria Cantwell	Democratic	Won	500
Airports Council International	Angus Stanley King Jr	Independent	Won	1000
Airports Council International	Olympia Snowe	\N	\N	1000
Akoo International	Mark Robert Warner	\N	\N	1000
Alaska Army National Guard	Lisa Murkowski	Republican	Won	200
Alaska National Insurance	Lisa Murkowski	Republican	Won	2400
Alaska National Insurance Co.	Lisa Murkowski	Republican	Not Yet A Statutory Candidate	2000
Alaska National Insurance Company	Dan Sullivan	Republican	Won	2250
Alaska National Insurance Company	Mitch Mcconnell	\N	\N	3000
Albany International	Jeanne Shaheen	Democratic	Won	5200
Albertson International, Inc.	Angus Stanley King Jr	Independent	Won	1000
Alem International	Mark Udall	\N	\N	1000
Alem International Management, Inc.	Michael F Bennet	Democratic	No Status	1000
Align International, Llc	Kirsten Gillibrand	\N	\N	1000
Alkalife International	Kendrick Meek	Democratic	No Status	250
All Axiom International Investors	Lisa Murkowski	Republican	Not Yet A Statutory Candidate	5400
All-ways Forwarding International, Inc	Robert Men�ndez	Democratic	Won	1000
Allen Evans Klein International	Charles Schumer	\N	\N	1200
Alliance For International Educational	Jon Tester	Democratic	Won	250
Alliance One International  Inc. P	Richard Burr	Republican	No Status	-1000
Alliant International University	Al Franken	\N	\N	1000
Alliant National	Mark Robert Warner	Democratic	Won	250
Alliant National Title Insurance Co.	Kenneth R Buck	Republican	Withdrew	250
Alok International Inc	John Cornyn	Republican	Won	5100
Altig International	Maria Cantwell	Democratic	Won	5000
Altig International	Robert Men�ndez	Democratic	Won	2500
Am J International Relations Institue	Mitch Mcconnell	Republican	Won	500
Am J International Relations Institute	Richard Durbin	Democratic	Won	500
Amarillo National Bank	Dan Sullivan	Republican	Won	750
Amarillo National Bank	John Cornyn	Republican	Won	4200
Amarillo National Bank	John Cornyn	\N	\N	2250
Amarillo National Bank	Rafael Edward Ted Cruz	Republican	Won	750
Amarillo National Bank	Rafael Edward Ted Cruz	\N	\N	2600
Amarillo National Bank	Roger Williams	\N	\N	500
Amarillo National Bank	William Cassidy	Republican	Won	6400
Amegy National Bank	Robert Men�ndez	\N	\N	1000
Americable International Inc.	Bill Nelson	Democratic	Won	250
American Defense International	Benjamin Cardin	Democratic	Won	2000
American Defense International	David Young	Republican	No Status	2250
American Defense International	Debbie Ann Stabenow	\N	\N	500
American Defense International	Kelly A Ayotte	Republican	No Status	500
American Defense International	Lindsey Graham	Republican	Won	3500
American Defense International	Marco Rubio	\N	\N	2000
American Defense International	Pat Roberts	Republican	Won	500
American Defense International	Patty Murray	Democratic	Won	500
American Defense International	Roy Blunt	Republican	No Status	500
American Defense International	Shelley Capito	Republican	Won	750
American Defense International	Susan Collins	Republican	Won	1000
American Insl. International Steel	Patrick Joseph Toomey	Republican	No Status	250
American International	Bill White	\N	\N	1000
American International Aluminum	Roy Blunt	Republican	No Status	500
American International Automobile Dealers Association	Roy Blunt	Republican	No Status	1000
American International Automobile Dealers Association	Shelley Capito	Republican	Won	500
American International Gp	John Isakson	Republican	No Status	1000
American International Group	Bob Corker	Republican	Won	1000
American International Group	Christopher Murphy	Democratic	Won	500
American International Group	Claire Mccaskill	Democratic	Won	2000
American International Group	Daniel Inouye	Democratic	Won	2400
American International Group	Debbie Ann Stabenow	Democratic	Won	500
American International Group	Elizabeth Warren	Democratic	Won	250
American International Group	Jim Demint	Republican	No Status	1000
American International Group	Joe Sestak	Democratic	Not Yet A Statutory Candidate	700
American International Group	John Isakson	Republican	No Status	500
American International Group	Kirsten Gillibrand	Democratic	No Status	1250
American International Group	Kirsten Gillibrand	Democratic	Won	1500
American International Group	Lindsey Graham	Republican	Won	5200
American International Group	Mark Udall	\N	\N	-1000
American International Group	Rafael Edward Ted Cruz	Republican	Won	250
American International Group	Robert Men�ndez	Democratic	Won	1001
American International Group	Tammy Baldwin	Democratic	Won	1000
American International Group	Timothy Michael Kaine	Democratic	Won	500
American International Group	Timothy Michael Kaine	\N	\N	1000
American International Movers	Saxby Chambliss	\N	\N	1000
American International Resources Inc.	Mazie Hirono	Democratic	Won	1000
American International School	Ron Wyden	Democratic	No Status	5000
American International School Of Abuja	Russell Feingold	Democratic	No Status	1000
American Jewish International Relation	Kirsten Gillibrand	Democratic	Won	500
American Jewish International Relation	Mary Landrieu	\N	\N	250
American Jewish International Relation	Mazie Hirono	Democratic	Won	250
American National Bank	Debra S Fischer	Republican	Won	250
American National Bank	Kelly A Ayotte	\N	\N	250
American National Bank	Mark Robert Warner	Democratic	Won	500
American National Bank	Roger Williams	\N	\N	1000
American National Rubber Co.	Mitch Mcconnell	Republican	Won	250
American National University	Mitch Mcconnell	Republican	Won	2600
American Pacific International Capital	Jeffrey Alan Merkley	\N	\N	2500
American Society Of International Law	Michael F Bennet	Democratic	No Status	4800
Americantours International	Tammy Baldwin	Democratic	Won	500
Amerilux International	Ronald Harold Johnson	\N	\N	200
Ameron International Corp.	Lindsey Graham	Republican	Won	500
Amex International Inc.	Harry Reid	Democratic	No Status	1000
Amex International, Inc.	Paul Hodes	Democratic	No Status	250
Ami International	Patty Murray	Democratic	Not Yet A Statutory Candidate	500
Ami International	Patty Murray	Democratic	Won	7300
Amnesty International Usa	Catherine Cortez Masto	Democratic	No Status	300
Amzi International, Inc.	Bill Nelson	Democratic	Won	300
Andrews International	Kirsten Gillibrand	Democratic	No Status	1000
Andrews International, Inc.	Charles Schumer	Democratic	No Status	1200
Ani International,inc	Mark Kirk	Republican	No Status	250
Anixter International	Andrea Zopp	Democratic	No Status	500
Anteon International Corp.	John Reed	\N	\N	1000
Apex International	Rand Paul	Republican	No Status	200
Apptex International	Christopher Murphy	Democratic	Won	3250
Arbonne International	Barbara Boxer	Democratic	Won	250
Arbonne International	Joe Donnelly	Democratic	Won	2500
Arcadia International	Ron Wyden	Democratic	No Status	500
Archeon International Group	Dianne Feinstein	Democratic	Won	2500
Archeon International Group	Loretta Sanchez	Democratic	No Status	1000
Argonne National Lab	L Tammy Duckworth	Democratic	No Status	250
Argonne National Lab	Richard Durbin	Democratic	Won	250
Argonne National Lab	Sherrod Brown	Democratic	Won	450
Argonne National Labopratory	Richard Durbin	Democratic	Won	250
Argonne National Laboratory	Al Franken	Democrat-Farm-Labor	Won	250
Argonne National Laboratory	Elizabeth Warren	Democratic	Won	250
Argonne National Laboratory	Mark Kirk	Republican	No Status	200
Argonne National Laboratory	Michael F Bennet	Democratic	No Status	2000
Argonne National Laboratory	Mike Lee	Republican	No Status	500
Argonne National Laboratory	Richard Durbin	Democratic	Won	250
Argount National Lab	Claire Mccaskill	Democratic	Won	200
Arkel International	Mary Landrieu	\N	\N	2200
Armenian National Committee Pac	Barbara Boxer	Democratic	Won	2500
Arminian National Committee Of America	Barbara Boxer	Democratic	Won	250
Armitage International	John Mccain	Republican	No Status	500
Army National Guard	Heidi Heitkamp	Democratic	Won	500
Army National Guard	Jason Kander	Democratic	No Status	1200
Army National Guard	Patrick Joseph Toomey	Republican	No Status	250
Arrow International	Rob Portman	\N	\N	2600
Arrow International Inc.	Rob Portman	\N	\N	2400
Arrow International, Inc.	Arlen Specter	Republican	No Status	500
Ars National Services, Inc.	Lindsey Graham	Republican	Won	500
Artco Group International	Ron Wyden	Democratic	No Status	1000
Asa International Ltd.	Angus Stanley King Jr	Independent	Won	500
Ashnu International, Inc.	Robert Men�ndez	Democratic	Won	300
Asis International	Timothy Scott	Republican	Won	500
Associates International	Mitch Mcconnell	\N	\N	1000
Associates International Inc	John Thune	Republican	No Status	2400
Associates International Inc	John Thune	\N	\N	250
Associates International Inc.	Jeff Flake	Republican	Won	2000
Associates International, Inc.	David Vitter	Republican	No Status	2400
Associates International, Inc.	Jeff Flake	Republican	Won	3000
Associates International, Inc.	Michael Castle	Republican	No Status	4800
Associates International, Inc.	Rafael Edward Ted Cruz	Republican	Won	2500
Association of National Advertisers	Charles Schumer	Democratic	No Status	2000
Association of National Advertisers	Kirsten Gillibrand	Democratic	No Status	1000
Association of National Advertisers	Mark Robert Warner	Democratic	Won	250
Atas International	Robert Casey	\N	\N	1000
Atl International	Patty Murray	\N	\N	1000
Atl International Inc.	Patty Murray	Democratic	Won	1000
Atl International Inc.	Patty Murray	\N	\N	1000
Atr International	Mazie Hirono	Democratic	Won	250
Attig International	Patty Murray	Democratic	Won	225
Aub International	Tom Udall	Democratic	Won	500
Austin National Financial Serv	Roy Blunt	Republican	No Status	1000
Australian Agency For International De	Barbara Boxer	Democratic	Won	400
Automotive Free International Pac	David Vitter	Republican	No Status	-2500
Automotive Free International Trad	Evan Bayh	Democratic	No Status	-5000
Automotive Free International Trade PAC	Roger Wicker	\N	\N	250
Autopart International	Elizabeth Warren	Democratic	Won	4250
Av International	Barbara Boxer	Democratic	Won	1000
Av International	Elizabeth Warren	Democratic	Won	2500
Av International	Joe Sestak	Democratic	Not Yet A Statutory Candidate	1000
Av International	Mark Robert Warner	\N	\N	2500
Av International	Timothy Michael Kaine	Democratic	Won	2500
Av International Inc	Charles Schumer	Democratic	No Status	2000
Av International, Inc.	Mark Robert Warner	Democratic	Won	2600
Av International, Inc.	Robert Casey	Democratic	Won	2500
Avalon International Breads	Debbie Ann Stabenow	Democratic	Won	2000
Aviation International News	Joe Manchin Iii	Democratic	Won	1000
Axiom International	Marco Rubio	Republican	No Status	2400
Axiom International	Michael Enzi	Republican	Won	2600
Axiom International	Robert R Simmons	Republican	No Status	2400
Axiom International Investor	Rob Portman	Republican	No Status	4800
Axiom International Investors	Arlen Specter	Republican	No Status	300
Axiom International Investors	Edward W Gillespie	\N	\N	2600
Axiom International Investors	Marco Rubio	\N	\N	400
Axiom International Investors	Orrin Hatch	Republican	Won	2500
Axiom International Investors	Richard Shelby	Republican	No Status	2400
Axiom International Investors	Ronald Harold Johnson	Republican	No Status	5400
Axiom International Investors Llc	Mitch Mcconnell	Republican	Won	4300
Axiom International Investors Llc	Mitch Mcconnell	\N	\N	4000
Axiom International Investors Llc	Rob Portman	Republican	No Status	2700
Axiom International Investors, Llc	Marion Michael Rounds	Republican	Won	5200
Axion International Llc	Mitch Mcconnell	Republican	Won	2600
Axlom International Investor	Rob Portman	\N	\N	2600
Axtom International Investors	Mike Lee	Republican	No Status	2500
Azrak-hamway International	Charles Schumer	Democratic	No Status	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Benjamin Cardin	\N	\N	1500
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Benjamin E Sasse	Republican	Won	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Blanche Lincoln	Democratic	No Status	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Bob Corker	Republican	Won	4500
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Bob Corker	\N	\N	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Carl Levin	\N	\N	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Claire Mccaskill	\N	\N	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Debbie Ann Stabenow	\N	\N	3400
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Gary Peters	Democratic	Won	5000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Gary Peters	\N	\N	2500
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Jim Demint	Republican	No Status	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	John Cornyn	\N	\N	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	John Reed	Democratic	Won	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	John Thune	Republican	No Status	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Lamar Alexander	Republican	Won	5500
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Mark Kirk	\N	\N	1500
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Michael Capuano	Democratic	No Status	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Michael Crapo	Republican	No Status	3500
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Michael Crapo	\N	\N	3500
