first_name,last_name,state,party,assumed_office,birthday,gender,govtrack_id,bioguide_id,thomas_id,opensecrets_id,lis_id,name,now,day_in_office,term_year
Joe,Donnelly,IN,Democrat,1/3/13,9/28/55,M,412205,D000607,1850,N00026586,S356,Joe Donnelly,12/30/15 0:00,1091,2.986995209
Pat,Roberts,KS,Republican,1/3/97,4/20/36,M,300083,R000307,968,N00005285,S260,Pat Roberts,12/31/15 0:00,6936,18.98973306
Jerry,Moran,KS,Republican,1/3/11,5/29/54,M,400284,M000934,1507,N00005282,S347,Jerry Moran,1/1/16 0:00,1824,4.993839836
Mitch,McConnell,KY,Republican,1/3/85,2/20/42,M,300072,M000355,1395,N00003389,S174,Mitch McConnell,1/2/16 0:00,11321,30.99520876
Rand,Paul,KY,Republican,1/3/11,1/7/63,M,412492,P000603,2082,N00030836,S348,Rand Paul,1/3/16 0:00,1826,4.999315537
Bill,Cassidy,LA,Republican,1/3/15,9/28/57,M,412269,C001075,1925,N00030245,S373,Bill Cassidy,1/4/16 0:00,366,1.002053388
David,Vitter,LA,Republican,1/3/05,5/3/61,M,400418,V000127,1609,N00009659,S299,David Vitter,1/5/16 0:00,4019,11.00342231
Edward,Markey,MA,Democrat,7/16/13,7/11/46,M,400253,M000133,735,N00000270,S369,Edward Markey,1/6/16 0:00,904,2.475017112
Elizabeth,Warren,MA,Democrat,1/3/13,6/22/49,F,412542,W000817,2182,N00033492,S366,Elizabeth Warren,1/7/16 0:00,1099,3.008898015
Benjamin,Cardin,MD,Democrat,1/3/07,10/5/43,M,400064,C000141,174,N00001955,S308,Benjamin Cardin,1/8/16 0:00,3292,9.013004791
Barbara,Mikulski,MD,Democrat,1/3/87,7/20/36,F,300073,M000702,802,N00001945,S182,Barbara Mikulski,1/9/16 0:00,10598,29.01574264
Susan,Collins,ME,Republican,1/3/97,12/7/52,F,300025,C001035,1541,N00000491,S252,Susan Collins,1/10/16 0:00,6946,19.01711157
Angus,King,ME,Independent,1/3/13,3/31/44,M,412545,K000383,2185,N00034580,S363,Angus King,1/11/16 0:00,1103,3.019849418
Debbie,Stabenow,MI,Democrat,1/3/01,4/29/50,F,300093,S000770,1531,N00004118,S284,Debbie Stabenow,1/12/16 0:00,5487,15.02258727
Gary,Peters,MI,Democrat,1/3/15,12/1/58,M,412305,P000595,1929,N00029277,S380,Gary Peters,1/13/16 0:00,375,1.026694045
Amy,Klobuchar,MN,Democrat,1/3/07,5/25/60,F,412242,K000367,1826,N00027500,S311,Amy Klobuchar,1/14/16 0:00,3298,9.029431896
Alan,Franken,MN,Democrat,7/7/09,5/21/51,M,412378,F000457,1969,N00029016,S332,Alan Franken,1/15/16 0:00,2383,6.524298426
Claire,McCaskill,MO,Democrat,1/3/07,7/24/53,F,412243,M001170,1820,N00027694,S312,Claire McCaskill,1/16/16 0:00,3300,9.034907598
Roy,Blunt,MO,Republican,1/3/11,1/10/50,M,400034,B000575,1464,N00005195,S342,Roy Blunt,1/17/16 0:00,1840,5.037645448
Roger,Wicker,MS,Republican,12/31/07,7/5/51,M,400432,W000437,1226,N00003280,S318,Roger Wicker,1/18/16 0:00,2940,8.049281314
Thad,Cochran,MS,Republican,12/27/78,12/7/37,M,300023,C000567,213,N00003328,S136,Thad Cochran,1/19/16 0:00,13537,37.06228611
Jon,Tester,MT,Democrat,1/3/07,8/21/56,M,412244,T000464,1829,N00027605,S314,Jon Tester,1/20/16 0:00,3304,9.045859001
Steve,Daines,MT,Republican,1/3/15,8/20/62,M,412549,D000618,2138,N00033054,S375,Steve Daines,1/21/16 0:00,383,1.048596851
Richard,Burr,NC,Republican,1/3/05,11/30/55,M,400054,B001135,153,N00002221,S300,Richard Burr,1/22/16 0:00,4036,11.04996578
Thom,Tillis,NC,Republican,1/3/15,8/30/60,M,412668,T000476,2291,N00035492,S384,Thom Tillis,1/23/16 0:00,385,1.054072553
John,Hoeven,ND,Republican,1/3/11,3/13/57,M,412494,H001061,2079,N00031688,S344,John Hoeven,1/24/16 0:00,1847,5.056810404
Heidi,Heitkamp,ND,Democrat,1/3/13,10/30/55,F,412554,H001069,2174,N00033782,S360,Heidi Heitkamp,1/25/16 0:00,1117,3.058179329
Deb,Fischer,NE,Republican,1/3/13,3/1/51,F,412556,F000463,2179,N00033443,S357,Deb Fischer,1/26/16 0:00,1118,3.06091718
Benjamin,Sasse,NE,Republican,1/3/15,2/22/72,M,412671,S001197,2289,N00035544,S382,Benjamin Sasse,1/27/16 0:00,389,1.065023956
Jeanne,Shaheen,NH,Democrat,1/3/09,1/28/47,F,412323,S001181,1901,N00024790,S324,Jeanne Shaheen,1/28/16 0:00,2581,7.066392882
Kelly,Ayotte,NH,Republican,1/3/11,6/27/68,F,412493,A000368,2075,N00030980,S340,Kelly Ayotte,1/29/16 0:00,1852,5.070499658
Robert,Menendez,NJ,Democrat,1/18/06,1/1/54,M,400272,M000639,791,N00000699,S306,Robert Menendez,1/30/16 0:00,3664,10.03148528
Cory,Booker,NJ,Democrat,10/31/13,4/27/69,M,412598,B001288,2194,N00035267,S370,Cory Booker,1/31/16 0:00,822,2.250513347
Tom,Udall,NM,Democrat,1/3/09,5/18/48,M,400413,U000039,1567,N00006561,S326,Tom Udall,2/1/16 0:00,2585,7.077344285
Martin,Heinrich,NM,Democrat,1/3/13,10/17/71,M,412281,H001046,1937,N00029835,S359,Martin Heinrich,2/2/16 0:00,1125,3.080082136
Harry,Reid,NV,Democrat,1/3/87,12/2/39,M,300082,R000146,952,N00009922,S198,Harry Reid,2/3/16 0:00,10623,29.08418891
Dean,Heller,NV,Republican,5/9/11,5/10/60,M,412218,H001041,1863,N00027522,S352,Dean Heller,2/4/16 0:00,1732,4.741957563
Kirsten,Gillibrand,NY,Democrat,1/26/09,12/9/66,F,412223,G000555,1866,N00027658,S331,Kirsten Gillibrand,2/5/16 0:00,2566,7.02532512
Charles,Schumer,NY,Democrat,1/3/99,11/23/50,M,300087,S000148,1036,N00001093,S270,Charles Schumer,2/6/16 0:00,6243,17.09240246
Sherrod,Brown,OH,Democrat,1/3/07,11/9/52,M,400050,B000944,136,N00003535,S307,Sherrod Brown,2/7/16 0:00,3322,9.095140315
Robert,Portman,OH,Republican,1/3/11,12/19/55,M,400325,P000449,924,N00003682,S349,Robert Portman,2/8/16 0:00,1862,5.097878166
James,Inhofe,OK,Republican,11/17/94,11/17/34,M,300055,I000024,583,N00005582,S236,James Inhofe,2/9/16 0:00,7754,21.229295
James,Lankford,OK,Republican,1/3/15,3/4/68,M,412464,L000575,2050,N00031129,S378,James Lankford,2/10/16 0:00,403,1.103353867
Jeff,Merkley,OR,Democrat,1/3/09,10/24/56,M,412325,M001176,1900,N00029303,S322,Jeff Merkley,2/11/16 0:00,2595,7.104722793
Ron,Wyden,OR,Democrat,2/6/96,5/3/49,M,300100,W000779,1247,N00007724,S247,Ron Wyden,2/12/16 0:00,7311,20.0164271
Robert,Casey,PA,Democrat,1/3/07,4/13/60,M,412246,C001070,1828,N00027503,S309,Robert Casey,2/13/16 0:00,3328,9.11156742
Patrick,Toomey,PA,Republican,1/3/11,11/17/61,M,400408,T000461,2085,N00001489,S351,Patrick Toomey,2/14/16 0:00,1868,5.11430527
Sheldon,Whitehouse,RI,Democrat,1/3/07,10/20/55,M,412247,W000802,1823,N00027533,S316,Sheldon Whitehouse,2/15/16 0:00,3330,9.117043121
John,Reed,RI,Democrat,1/3/97,11/12/49,M,300081,R000122,949,N00000362,S259,John Reed,2/16/16 0:00,6983,19.11841205
Lindsey,Graham,SC,Republican,1/3/03,7/9/55,M,300047,G000359,452,N00009975,S293,Lindsey Graham,2/17/16 0:00,4793,13.12251882
Tim,Scott,SC,Republican,1/2/13,9/19/65,M,412471,S001184,2056,N00031782,S365,Tim Scott,2/18/16 0:00,1142,3.126625599
John,Thune,SD,Republican,1/3/05,1/7/61,M,400546,T000250,1534,N00004572,S303,John Thune,2/19/16 0:00,4064,11.1266256
Mike,Rounds,SD,Republican,1/3/15,10/24/54,M,412669,R000605,2288,N00035187,S381,Mike Rounds,2/20/16 0:00,413,1.130732375
Bob,Corker,TN,Republican,1/3/07,8/24/52,M,412248,C001071,1825,N00027441,S310,Bob Corker,2/21/16 0:00,3336,9.133470226
Lamar,Alexander,TN,Republican,1/3/03,7/3/40,M,300002,A000360,1695,N00009888,S289,Lamar Alexander,2/22/16 0:00,4798,13.13620808
John,Cornyn,TX,Republican,12/1/02,2/2/52,M,300027,C001056,1692,N00024852,S287,John Cornyn,2/23/16 0:00,4832,13.229295
Ted,Cruz,TX,Republican,1/3/13,12/22/70,M,412573,C001098,2175,N00033085,S355,Ted Cruz,2/24/16 0:00,1147,3.140314853
Orrin,Hatch,UT,Republican,1/3/77,3/22/34,M,300052,H000338,1351,N00009869,S118,Orrin Hatch,2/25/16 0:00,14297,39.1430527
Mike,Lee,UT,Republican,1/3/11,6/4/71,M,412495,L000577,2080,N00031696,S346,Mike Lee,2/26/16 0:00,1880,5.14715948
Mark,Warner,VA,Democrat,1/3/09,12/15/54,M,412321,W000805,1897,N00002097,S327,Mark Warner,2/27/16 0:00,2611,7.148528405
Timothy,Kaine,VA,Democrat,1/3/13,2/26/58,M,412582,K000384,2176,N00033177,S362,Timothy Kaine,2/28/16 0:00,1151,3.151266256
Bernard,Sanders,VT,Independent,1/3/07,9/8/41,M,400357,S000033,1010,N00000528,S313,Bernard Sanders,2/29/16 0:00,3344,9.155373032
Patrick,Leahy,VT,Democrat,1/3/75,3/31/40,M,300065,L000174,1383,N00009918,S057,Patrick Leahy,3/1/16 0:00,15033,41.15811088
Maria,Cantwell,WA,Democrat,1/3/01,10/13/58,F,300018,C000127,172,N00007836,S275,Maria Cantwell,3/2/16 0:00,5537,15.15947981
Patty,Murray,WA,Democrat,1/3/93,10/11/50,F,300076,M001111,1409,N00007876,S229,Patty Murray,3/3/16 0:00,8460,23.16221766
Tammy,Baldwin,WI,Democrat,1/3/13,2/11/62,F,400013,B001230,1558,N00004367,S354,Tammy Baldwin,3/4/16 0:00,1156,3.16495551
Ron,Johnson,WI,Republican,1/3/11,4/8/55,M,412496,J000293,2086,N00032546,S345,Ron Johnson,3/5/16 0:00,1888,5.169062286
Joe,Manchin,WV,Democrat,11/15/10,8/24/47,M,412391,M001183,1983,N00032838,S338,Joe Manchin,3/6/16 0:00,1938,5.305954825
Shelley,Capito,WV,Republican,1/3/15,11/26/53,F,400061,C001047,1676,N00009771,S372,Shelley Capito,3/7/16 0:00,429,1.174537988
John,Barrasso,WY,Republican,6/25/07,7/21/52,M,412251,B001261,1881,N00006236,S317,John Barrasso,3/8/16 0:00,3179,8.703627652
Michael,Enzi,WY,Republican,1/3/97,2/1/44,M,300041,E000285,1542,N00006249,S254,Michael Enzi,3/9/16 0:00,7005,19.17864476
