id	Subject	Subcategory
5915	Commerce	Building construction
5916	Commerce	Business ethics
5917	Commerce	Business expenses
5918	Commerce	Business investment and capital
5919	Commerce	Business records
5920	Commerce	Competition and antitrust
5921	Commerce	Consumer affairs
5922	Commerce	Corporate finance and management
5923	Commerce	Gambling
5924	Commerce	General business and commerce matters
5925	Commerce	Industrial facilities
5926	Commerce	Industrial policy and productivity
5927	Commerce	Intellectual property
5928	Commerce	Manufacturing
5929	Commerce	Marketing and advertising
5930	Commerce	Minority and disadvantaged businesses
5931	Commerce	Product development and innovation
5932	Commerce	Product safety and quality
5933	Commerce	Retail and wholesale trades
5934	Commerce	Service industries
5935	Commerce	Small business
5936	Commerce	Trade secrets and economic espionage
5937	Commerce	Women in business
6854	Commerce	Business education
6855	Commerce	Lease and rental services
5952	Crime and Law Enforcement	(top)
5953	Crime and Law Enforcement	Assault and harassment offenses
5954	Crime and Law Enforcement	Computer security and identity theft
5955	Crime and Law Enforcement	Correctional facilities and imprisonment
5956	Crime and Law Enforcement	Crime prevention
5957	Crime and Law Enforcement	Crime victims
5958	Crime and Law Enforcement	Crimes against animals and natural resources
5959	Crime and Law Enforcement	Crimes against children
5960	Crime and Law Enforcement	Crimes against property
5961	Crime and Law Enforcement	Crimes against women
5962	Crime and Law Enforcement	"Criminal investigation, prosecution, interrogation"
5963	Crime and Law Enforcement	Criminal justice information and records
5964	Crime and Law Enforcement	Criminal procedure and sentencing
5965	Crime and Law Enforcement	Drug trafficking and controlled substances
5966	Crime and Law Enforcement	Firearms and explosives
5967	Crime and Law Enforcement	Fraud offenses and financial crimes
5968	Crime and Law Enforcement	Hate crimes
5969	Crime and Law Enforcement	Juvenile crime and gang violence
5970	Crime and Law Enforcement	Law enforcement administration and funding
5971	Crime and Law Enforcement	Law enforcement officers
5972	Crime and Law Enforcement	Organized crime
5973	Crime and Law Enforcement	Sex offenses
5974	Crime and Law Enforcement	Smuggling and trafficking
5975	Crime and Law Enforcement	Terrorism
5976	Crime and Law Enforcement	Violent crime
5977	Crime and Law Enforcement	White-collar crime
6873	Crime and Law Enforcement	Espionage and treason
5978	Economics and Public Finance	(top)
5979	Economics and Public Finance	Appropriations
5980	Economics and Public Finance	Budget deficits and national debt
5981	Economics and Public Finance	Budget process
5982	Economics and Public Finance	Economic development
5983	Economics and Public Finance	Economic performance and conditions
5984	Economics and Public Finance	Economic theory
5985	Economics and Public Finance	Government lending and loan guarantees
5986	Economics and Public Finance	Government trust funds
5987	Economics and Public Finance	Inflation and prices
5988	Economics and Public Finance	Monetary policy
5989	Economics and Public Finance	State and local finance
5990	Economics and Public Finance	User charges and fees
5991	Education	(top)
5992	Education	Academic performance and assessments
5993	Education	Adult education and literacy
5994	Education	Area studies and international education
5995	Education	Education of the disadvantaged
5996	Education	Education programs funding
5997	Education	Educational facilities and institutions
5998	Education	Educational technology and distance education
5999	Education	Elementary and secondary education
6000	Education	Foreign language and bilingual programs
6001	Education	General education matters
6002	Education	Higher education
6003	Education	Language arts
6004	Education	Minority education
6005	Education	Preschool education
6006	Education	School administration
6007	Education	Special education
6008	Education	Student aid and college costs
6009	Education	"Teaching, teachers, curricula"
6011	Education	Women's education
6874	Education	Educational guidance
6875	Education	Student records
6876	Education	Vocational and technical education
6012	Emergency Management	(top)
6013	Emergency Management	Accidents
6014	Emergency Management	Civil disturbances
6015	Emergency Management	Disaster relief and insurance
6016	Emergency Management	Emergency communications systems
6017	Emergency Management	Emergency planning and evacuation
6018	Emergency Management	Fires
6019	Emergency Management	Homeland security
6020	Emergency Management	Natural disasters
6838	Emergency Management	First responders and emergency personnel
6021	Energy	(top)
6022	Energy	Alternative and renewable resources
6023	Energy	Coal
6024	Energy	Electric power generation and transmission
6025	Energy	Energy assistance for the poor and aged
6026	Energy	Energy efficiency and conservation
6027	Energy	Energy prices
6028	Energy	Energy research
6029	Energy	Energy revenues and royalties
6030	Energy	"Energy storage, supplies, demand"
6031	Energy	General energy matters
6032	Energy	"Hybrid, electric, and advanced technology vehicles"
6033	Energy	Lighting and heating
6034	Energy	Motor fuels
6035	Energy	Nuclear power
6036	Energy	Oil and gas
6037	Energy	Public utilities and utility rates
6038	Environmental Protection	(top)
6039	Environmental Protection	Air quality
6040	Environmental Protection	Climate change and greenhouse gases
6041	Environmental Protection	Ecology
6042	Environmental Protection	"Environmental assessment, monitoring, research"
6043	Environmental Protection	Environmental regulatory procedures
6044	Environmental Protection	Environmental technology
6045	Environmental Protection	Hazardous wastes and toxic substances
6046	Environmental Protection	Marine pollution
6047	Environmental Protection	Noise pollution
6048	Environmental Protection	Pollution liability
6049	Environmental Protection	Radioactive wastes and releases
6050	Environmental Protection	Soil pollution
6051	Environmental Protection	Solid waste and recycling
6052	Environmental Protection	Water quality
6856	Environmental Protection	Pest management
6053	Families	(top)
6054	Families	Adoption and foster care
6055	Families	Adult day care
6056	Families	Child care and development
6057	Families	Child safety and welfare
6058	Families	Domestic violence and child abuse
6059	Families	Family relationships
6060	Families	Family services
6061	Families	Marriage and family status
6062	Families	"Separation, divorce, custody, support"
6063	Families	Teenage pregnancy
6839	Families	Cemeteries and funerals
6064	Finance and Financial Sector	(top)
6065	Finance and Financial Sector	Accounting and auditing
6066	Finance and Financial Sector	"Bank accounts, deposits, capital"
6067	Finance and Financial Sector	Banking and financial institutions regulation
6068	Finance and Financial Sector	Bankruptcy
6069	Finance and Financial Sector	Commodities markets
6070	Finance and Financial Sector	Consumer credit
6071	Finance and Financial Sector	Credit and credit markets
6072	Finance and Financial Sector	Currency
6073	Finance and Financial Sector	Financial crises and stabilization
6074	Finance and Financial Sector	Financial literacy
6075	Finance and Financial Sector	Financial services and investments
6076	Finance and Financial Sector	Insurance industry and regulation
6077	Finance and Financial Sector	"Interest, dividends, interest rates"
6078	Finance and Financial Sector	"Life, casualty, property insurance"
6079	Finance and Financial Sector	Real estate business
6080	Finance and Financial Sector	Securities
6877	Finance and Financial Sector	Debt collection
6081	Foreign Trade and International Finance	(top)
6082	Foreign Trade and International Finance	Buy American requirements
6083	Foreign Trade and International Finance	"Competitiveness, trade promotion, trade deficits"
6084	Foreign Trade and International Finance	Customs enforcement
6085	Foreign Trade and International Finance	Foreign and international corporations
6086	Foreign Trade and International Finance	Foreign loans and debt
6087	Foreign Trade and International Finance	Free trade and trade barriers
6088	Foreign Trade and International Finance	Foreign and international banking
6089	Foreign Trade and International Finance	International monetary system and foreign exchange
6090	Foreign Trade and International Finance	"Normal trade relations, most-favored-nation treatment"
6091	Foreign Trade and International Finance	Tariffs
6092	Foreign Trade and International Finance	Trade adjustment assistance
6093	Foreign Trade and International Finance	Trade agreements and negotiations
6094	Foreign Trade and International Finance	Trade restrictions
6095	Foreign Trade and International Finance	U.S. and foreign investments
6389	"Geographic Areas, Entities, and Committees"	(top)
5938	"Geographic Areas, Entities, and Committees"	Congress
5947	"Geographic Areas, Entities, and Committees"	House of Representatives
6390	"Geographic Areas, Entities, and Committees"	Administrative Conference of the U.S.
6391	"Geographic Areas, Entities, and Committees"	Afghanistan
6392	"Geographic Areas, Entities, and Committees"	Alabama
6393	"Geographic Areas, Entities, and Committees"	Alaska
6394	"Geographic Areas, Entities, and Committees"	American Battle Monuments Commission
6395	"Geographic Areas, Entities, and Committees"	American Samoa
6396	"Geographic Areas, Entities, and Committees"	Andorra
6397	"Geographic Areas, Entities, and Committees"	Anguilla
6398	"Geographic Areas, Entities, and Committees"	Antigua and Barbuda
6399	"Geographic Areas, Entities, and Committees"	Appalachian Regional Commission
6400	"Geographic Areas, Entities, and Committees"	Architect of the Capitol
6402	"Geographic Areas, Entities, and Committees"	Arctic Ocean
6403	"Geographic Areas, Entities, and Committees"	Argentina
6404	"Geographic Areas, Entities, and Committees"	Arizona
6405	"Geographic Areas, Entities, and Committees"	Arkansas
6406	"Geographic Areas, Entities, and Committees"	Armed Forces Retirement Home
6407	"Geographic Areas, Entities, and Committees"	Armenia
6408	"Geographic Areas, Entities, and Committees"	Arms Control and Disarmament Agency
6409	"Geographic Areas, Entities, and Committees"	Army Corps of Engineers
6410	"Geographic Areas, Entities, and Committees"	ASEAN countries
6411	"Geographic Areas, Entities, and Committees"	Asia
6412	"Geographic Areas, Entities, and Committees"	Atlantic Coast (U.S.)
6413	"Geographic Areas, Entities, and Committees"	Atlantic Ocean
6414	"Geographic Areas, Entities, and Committees"	Australia
6415	"Geographic Areas, Entities, and Committees"	Austria
6416	"Geographic Areas, Entities, and Committees"	Azerbaijan
6417	"Geographic Areas, Entities, and Committees"	Bahamas
6418	"Geographic Areas, Entities, and Committees"	Bahrain
6419	"Geographic Areas, Entities, and Committees"	Bangladesh
6420	"Geographic Areas, Entities, and Committees"	Barbados
6421	"Geographic Areas, Entities, and Committees"	Belgium
6422	"Geographic Areas, Entities, and Committees"	Belize
6423	"Geographic Areas, Entities, and Committees"	Bering Sea
6424	"Geographic Areas, Entities, and Committees"	Bermuda
6425	"Geographic Areas, Entities, and Committees"	Bhutan
6426	"Geographic Areas, Entities, and Committees"	Bolivia
6427	"Geographic Areas, Entities, and Committees"	Bosnia and Herzegovina
6428	"Geographic Areas, Entities, and Committees"	Botswana
6429	"Geographic Areas, Entities, and Committees"	Brazil
6430	"Geographic Areas, Entities, and Committees"	Broadcasting Board of Governors
6431	"Geographic Areas, Entities, and Committees"	Brunei
6432	"Geographic Areas, Entities, and Committees"	Burkina Faso
6433	"Geographic Areas, Entities, and Committees"	Burma
6434	"Geographic Areas, Entities, and Committees"	Burundi
6435	"Geographic Areas, Entities, and Committees"	California
6436	"Geographic Areas, Entities, and Committees"	Cambodia
6437	"Geographic Areas, Entities, and Committees"	Cameroon
6438	"Geographic Areas, Entities, and Committees"	Canada
6439	"Geographic Areas, Entities, and Committees"	Caribbean area
6440	"Geographic Areas, Entities, and Committees"	Caribbean Sea
6441	"Geographic Areas, Entities, and Committees"	Cayman Islands
6442	"Geographic Areas, Entities, and Committees"	Centers for Disease Control and Prevention (CDC)
6443	"Geographic Areas, Entities, and Committees"	Central African Republic
6444	"Geographic Areas, Entities, and Committees"	Central America
6445	"Geographic Areas, Entities, and Committees"	Central Intelligence Agency (CIA)
6446	"Geographic Areas, Entities, and Committees"	Chesapeake Bay
6447	"Geographic Areas, Entities, and Committees"	Chile
6448	"Geographic Areas, Entities, and Committees"	China
6449	"Geographic Areas, Entities, and Committees"	Colombia
6450	"Geographic Areas, Entities, and Committees"	Colorado
6451	"Geographic Areas, Entities, and Committees"	Commission of Fine Arts
6452	"Geographic Areas, Entities, and Committees"	Commission on Civil Rights
6453	"Geographic Areas, Entities, and Committees"	Committee for Purchase from People Who Are Blind or Severely Disabled
6454	"Geographic Areas, Entities, and Committees"	Commodity Credit Corporation
6455	"Geographic Areas, Entities, and Committees"	Commodity Futures Trading Commission
6456	"Geographic Areas, Entities, and Committees"	Community Development Financial Institutions Fund
6457	"Geographic Areas, Entities, and Committees"	Comoros
6458	"Geographic Areas, Entities, and Committees"	Congo
6459	"Geographic Areas, Entities, and Committees"	Congressional Budget Office (CBO)
6460	"Geographic Areas, Entities, and Committees"	Congressional Research Service (CRS)
6461	"Geographic Areas, Entities, and Committees"	Connecticut
6462	"Geographic Areas, Entities, and Committees"	Consumer Product Safety Commission
6463	"Geographic Areas, Entities, and Committees"	Corporation for National and Community Service
6465	"Geographic Areas, Entities, and Committees"	Costa Rica
6466	"Geographic Areas, Entities, and Committees"	Croatia
6467	"Geographic Areas, Entities, and Committees"	Cuba
6468	"Geographic Areas, Entities, and Committees"	Cyprus
6469	"Geographic Areas, Entities, and Committees"	Czech Republic
6470	"Geographic Areas, Entities, and Committees"	Defense Nuclear Facilities Safety Board
6471	"Geographic Areas, Entities, and Committees"	Delaware
6472	"Geographic Areas, Entities, and Committees"	Delaware River Basin Commission
6473	"Geographic Areas, Entities, and Committees"	Democratic Republic of the Congo
6474	"Geographic Areas, Entities, and Committees"	Department of Agriculture
6475	"Geographic Areas, Entities, and Committees"	Department of Commerce
6476	"Geographic Areas, Entities, and Committees"	Department of Defense
6477	"Geographic Areas, Entities, and Committees"	Department of Education
6480	"Geographic Areas, Entities, and Committees"	Department of Homeland Security
6481	"Geographic Areas, Entities, and Committees"	Department of Housing and Urban Development
6483	"Geographic Areas, Entities, and Committees"	Department of Labor
6484	"Geographic Areas, Entities, and Committees"	Department of State
6485	"Geographic Areas, Entities, and Committees"	Department of the Interior
6489	"Geographic Areas, Entities, and Committees"	Diego Garcia
6490	"Geographic Areas, Entities, and Committees"	Director of National Intelligence
6491	"Geographic Areas, Entities, and Committees"	District of Columbia
6492	"Geographic Areas, Entities, and Committees"	Dominica
6493	"Geographic Areas, Entities, and Committees"	Dominican Republic
6494	"Geographic Areas, Entities, and Committees"	Drug Enforcement Administration (DEA)
6495	"Geographic Areas, Entities, and Committees"	East Timor
6496	"Geographic Areas, Entities, and Committees"	Ecuador
6497	"Geographic Areas, Entities, and Committees"	Egypt
6498	"Geographic Areas, Entities, and Committees"	El Salvador
6499	"Geographic Areas, Entities, and Committees"	Election Assistance Commission
6500	"Geographic Areas, Entities, and Committees"	Environmental Protection Agency (EPA)
6501	"Geographic Areas, Entities, and Committees"	Equal Employment Opportunity Commission (EEOC)
6502	"Geographic Areas, Entities, and Committees"	Equatorial Guinea
6503	"Geographic Areas, Entities, and Committees"	Eritrea
6504	"Geographic Areas, Entities, and Committees"	Estonia
6505	"Geographic Areas, Entities, and Committees"	Ethiopia
6506	"Geographic Areas, Entities, and Committees"	Europe
6507	"Geographic Areas, Entities, and Committees"	European Union
6508	"Geographic Areas, Entities, and Committees"	Everglades
6509	"Geographic Areas, Entities, and Committees"	Executive Office of the President
6510	"Geographic Areas, Entities, and Committees"	Export-Import Bank of the United States
6511	"Geographic Areas, Entities, and Committees"	Farm Credit Administration
6512	"Geographic Areas, Entities, and Committees"	Federal Bureau of Investigation (FBI)
6513	"Geographic Areas, Entities, and Committees"	Federal Communications Commission (FCC)
6514	"Geographic Areas, Entities, and Committees"	Federal Crop Insurance Corporation
6515	"Geographic Areas, Entities, and Committees"	Federal Deposit Insurance Corporation (FDIC)
6516	"Geographic Areas, Entities, and Committees"	Federal Election Commission (FEC)
6517	"Geographic Areas, Entities, and Committees"	Federal Emergency Management Agency (FEMA)
6518	"Geographic Areas, Entities, and Committees"	Federal Energy Regulatory Commission (FERC)
6519	"Geographic Areas, Entities, and Committees"	Federal Home Loan Bank Board
6521	"Geographic Areas, Entities, and Committees"	Federal Labor Relations Authority
6522	"Geographic Areas, Entities, and Committees"	Federal Maritime Commission
6523	"Geographic Areas, Entities, and Committees"	Federal Mediation and Conciliation Service
6524	"Geographic Areas, Entities, and Committees"	Federal Mine Safety and Health Review Commission
6525	"Geographic Areas, Entities, and Committees"	"Federal Prison Industries, Inc."
6526	"Geographic Areas, Entities, and Committees"	Federal Reserve System
6527	"Geographic Areas, Entities, and Committees"	Federal Retirement Thrift Investment Board
6528	"Geographic Areas, Entities, and Committees"	Federal Trade Commission (FTC)
6529	"Geographic Areas, Entities, and Committees"	Finland
6530	"Geographic Areas, Entities, and Committees"	Florida
6531	"Geographic Areas, Entities, and Committees"	Food and Drug Administration (FDA)
6532	"Geographic Areas, Entities, and Committees"	Gabon
6533	"Geographic Areas, Entities, and Committees"	Gambia
6534	"Geographic Areas, Entities, and Committees"	Gaza Strip
6535	"Geographic Areas, Entities, and Committees"	General Services Administration
6536	"Geographic Areas, Entities, and Committees"	Georgia
6537	"Geographic Areas, Entities, and Committees"	Georgia (Republic)
6538	"Geographic Areas, Entities, and Committees"	Germany
6539	"Geographic Areas, Entities, and Committees"	Ghana
6540	"Geographic Areas, Entities, and Committees"	Government Accountability Office (GAO)
6541	"Geographic Areas, Entities, and Committees"	Government National Mortgage Association (Ginnie Mae)
6543	"Geographic Areas, Entities, and Committees"	Great Lakes
6544	"Geographic Areas, Entities, and Committees"	Great Plains
6545	"Geographic Areas, Entities, and Committees"	Greece
6546	"Geographic Areas, Entities, and Committees"	Greenland
6547	"Geographic Areas, Entities, and Committees"	Grenada
6548	"Geographic Areas, Entities, and Committees"	Guadeloupe
6549	"Geographic Areas, Entities, and Committees"	Guam
6550	"Geographic Areas, Entities, and Committees"	Guatemala
6551	"Geographic Areas, Entities, and Committees"	Guinea
6552	"Geographic Areas, Entities, and Committees"	Guinea-Bissau
6553	"Geographic Areas, Entities, and Committees"	Gulf of Mexico
6554	"Geographic Areas, Entities, and Committees"	Gulf States
6555	"Geographic Areas, Entities, and Committees"	Guyana
6556	"Geographic Areas, Entities, and Committees"	Haiti
6557	"Geographic Areas, Entities, and Committees"	Hawaii
6558	"Geographic Areas, Entities, and Committees"	Honduras
6559	"Geographic Areas, Entities, and Committees"	Hong Kong
6560	"Geographic Areas, Entities, and Committees"	House Committee on Agriculture
6561	"Geographic Areas, Entities, and Committees"	House Committee on Appropriations
6562	"Geographic Areas, Entities, and Committees"	House Committee on Armed Services
6563	"Geographic Areas, Entities, and Committees"	House Committee on Education and Labor
6564	"Geographic Areas, Entities, and Committees"	House Committee on Energy and Commerce
6565	"Geographic Areas, Entities, and Committees"	House Committee on Financial Services
6566	"Geographic Areas, Entities, and Committees"	House Committee on Foreign Affairs
6567	"Geographic Areas, Entities, and Committees"	House Committee on Homeland Security
6568	"Geographic Areas, Entities, and Committees"	House Committee on House Administration
6569	"Geographic Areas, Entities, and Committees"	House Committee on Natural Resources
6570	"Geographic Areas, Entities, and Committees"	House Committee on Oversight and Government Reform
6571	"Geographic Areas, Entities, and Committees"	House Committee on Rules
6572	"Geographic Areas, Entities, and Committees"	House Committee on Science and Technology
6573	"Geographic Areas, Entities, and Committees"	House Committee on Small Business
6574	"Geographic Areas, Entities, and Committees"	House Committee on Standards of Official Conduct
6575	"Geographic Areas, Entities, and Committees"	House Committee on the Budget
6576	"Geographic Areas, Entities, and Committees"	House Committee on the Judiciary
6577	"Geographic Areas, Entities, and Committees"	House Committee on Transportation and Infrastructure
6579	"Geographic Areas, Entities, and Committees"	House Committee on Ways and Means
6580	"Geographic Areas, Entities, and Committees"	House Permanent Select Committee on Intelligence
6581	"Geographic Areas, Entities, and Committees"	House Select Committee on Energy Independence and Global Warming
6583	"Geographic Areas, Entities, and Committees"	Iceland
6584	"Geographic Areas, Entities, and Committees"	Idaho
6585	"Geographic Areas, Entities, and Committees"	Illinois
6586	"Geographic Areas, Entities, and Committees"	India
6587	"Geographic Areas, Entities, and Committees"	Indiana
6588	"Geographic Areas, Entities, and Committees"	Interagency Council on Homelessness
6589	"Geographic Areas, Entities, and Committees"	Inter-American Foundation
6590	"Geographic Areas, Entities, and Committees"	Internal Revenue Service (IRS)
6591	"Geographic Areas, Entities, and Committees"	Iowa
6592	"Geographic Areas, Entities, and Committees"	Iran
6593	"Geographic Areas, Entities, and Committees"	Iraq
6594	"Geographic Areas, Entities, and Committees"	Ireland
6595	"Geographic Areas, Entities, and Committees"	Israel
6596	"Geographic Areas, Entities, and Committees"	Italy
6597	"Geographic Areas, Entities, and Committees"	Ivory Coast
6598	"Geographic Areas, Entities, and Committees"	Jamaica
6599	"Geographic Areas, Entities, and Committees"	Japan
6600	"Geographic Areas, Entities, and Committees"	Japan-U.S. Friendship Commission
6601	"Geographic Areas, Entities, and Committees"	Joint Committee on Taxation
6602	"Geographic Areas, Entities, and Committees"	Joint Economic Committee
6603	"Geographic Areas, Entities, and Committees"	Jordan
6604	"Geographic Areas, Entities, and Committees"	Kansas
6605	"Geographic Areas, Entities, and Committees"	Kazakhstan
6606	"Geographic Areas, Entities, and Committees"	Kentucky
6607	"Geographic Areas, Entities, and Committees"	Kenya
6608	"Geographic Areas, Entities, and Committees"	Kiribati
6609	"Geographic Areas, Entities, and Committees"	Kosovo
6610	"Geographic Areas, Entities, and Committees"	Kuwait
6611	"Geographic Areas, Entities, and Committees"	Kyrgyzstan
6612	"Geographic Areas, Entities, and Committees"	Latin America
6613	"Geographic Areas, Entities, and Committees"	Lebanon
6614	"Geographic Areas, Entities, and Committees"	Legal Services Corporation
6615	"Geographic Areas, Entities, and Committees"	Lesotho
6616	"Geographic Areas, Entities, and Committees"	Liberia
6617	"Geographic Areas, Entities, and Committees"	Library of Congress
6618	"Geographic Areas, Entities, and Committees"	Libya
6619	"Geographic Areas, Entities, and Committees"	Liechtenstein
6620	"Geographic Areas, Entities, and Committees"	Lithuania
6621	"Geographic Areas, Entities, and Committees"	Long Island Sound
6622	"Geographic Areas, Entities, and Committees"	Louisiana
6623	"Geographic Areas, Entities, and Committees"	Luxembourg
6624	"Geographic Areas, Entities, and Committees"	Macau
6625	"Geographic Areas, Entities, and Committees"	Macedonia
6626	"Geographic Areas, Entities, and Committees"	Madagascar
6627	"Geographic Areas, Entities, and Committees"	Maine
6628	"Geographic Areas, Entities, and Committees"	Malawi
6629	"Geographic Areas, Entities, and Committees"	Malaysia
6630	"Geographic Areas, Entities, and Committees"	Maldives
6631	"Geographic Areas, Entities, and Committees"	Mali
6632	"Geographic Areas, Entities, and Committees"	Malta
6633	"Geographic Areas, Entities, and Committees"	Marine Mammal Commission
6634	"Geographic Areas, Entities, and Committees"	Marshall Islands
6635	"Geographic Areas, Entities, and Committees"	Martinique
6636	"Geographic Areas, Entities, and Committees"	Maryland
6637	"Geographic Areas, Entities, and Committees"	Massachusetts
6638	"Geographic Areas, Entities, and Committees"	Mauritania
6639	"Geographic Areas, Entities, and Committees"	Mauritius
6640	"Geographic Areas, Entities, and Committees"	Medicare Payment Advisory Commission
6641	"Geographic Areas, Entities, and Committees"	Merit Systems Protection Board
6642	"Geographic Areas, Entities, and Committees"	Mexico
6643	"Geographic Areas, Entities, and Committees"	Michigan
6644	"Geographic Areas, Entities, and Committees"	Micronesia
6645	"Geographic Areas, Entities, and Committees"	Middle East
6646	"Geographic Areas, Entities, and Committees"	Minnesota
6647	"Geographic Areas, Entities, and Committees"	Mississippi
6648	"Geographic Areas, Entities, and Committees"	Mississippi River
6649	"Geographic Areas, Entities, and Committees"	Missouri
6650	"Geographic Areas, Entities, and Committees"	Missouri River
6651	"Geographic Areas, Entities, and Committees"	Moldova
6652	"Geographic Areas, Entities, and Committees"	Mongolia
6653	"Geographic Areas, Entities, and Committees"	Montana
6654	"Geographic Areas, Entities, and Committees"	Montenegro
6655	"Geographic Areas, Entities, and Committees"	Montserrat
6656	"Geographic Areas, Entities, and Committees"	Morocco
6657	"Geographic Areas, Entities, and Committees"	Mozambique
6658	"Geographic Areas, Entities, and Committees"	Namibia
6659	"Geographic Areas, Entities, and Committees"	National Aeronautics and Space Administration
6660	"Geographic Areas, Entities, and Committees"	National Archives and Records Administration
6661	"Geographic Areas, Entities, and Committees"	National Capital Planning Commission
6662	"Geographic Areas, Entities, and Committees"	National Commission on Libraries and Information Science
6663	"Geographic Areas, Entities, and Committees"	National Council on Disability
6664	"Geographic Areas, Entities, and Committees"	National Credit Union Administration
6665	"Geographic Areas, Entities, and Committees"	National Foundation on the Arts and the Humanities
6666	"Geographic Areas, Entities, and Committees"	National Indian Gaming Commission
6667	"Geographic Areas, Entities, and Committees"	National Institutes of Health (NIH)
6668	"Geographic Areas, Entities, and Committees"	National Labor Relations Board (NLRB)
6669	"Geographic Areas, Entities, and Committees"	National Mediation Board
6670	"Geographic Areas, Entities, and Committees"	National Railroad Passenger Corporation (Amtrak)
6671	"Geographic Areas, Entities, and Committees"	National Science Foundation
6672	"Geographic Areas, Entities, and Committees"	National Transportation Safety Board (NTSB)
6673	"Geographic Areas, Entities, and Committees"	Nebraska
