first_name,last_name,state,party,assumed_office,birthday,gender,govtrack_id,bioguide_id,thomas_id,opensecrets_id,lis_id
Mike,Lee,UT,Republican,6/4/71,6/4/71,M,412495,L000577,2080,N00031696,S346
Mark,Warner,VA,Democrat,12/15/54,12/15/54,M,412321,W000805,1897,N00002097,S327
Timothy,Kaine,VA,Democrat,2/26/58,2/26/58,M,412582,K000384,2176,N00033177,S362
Bernard,Sanders,VT,Independent,9/8/41,9/8/41,M,400357,S000033,1010,N00000528,S313
Patrick,Leahy,VT,Democrat,3/31/40,3/31/40,M,300065,L000174,1383,N00009918,S057
Maria,Cantwell,WA,Democrat,10/13/58,10/13/58,F,300018,C000127,172,N00007836,S275
Patty,Murray,WA,Democrat,10/11/50,10/11/50,F,300076,M001111,1409,N00007876,S229
Tammy,Baldwin,WI,Democrat,2/11/62,2/11/62,F,400013,B001230,1558,N00004367,S354
Ron,Johnson,WI,Republican,4/8/55,4/8/55,M,412496,J000293,2086,N00032546,S345
Joe,Manchin,WV,Democrat,8/24/47,8/24/47,M,412391,M001183,1983,N00032838,S338
Shelley,Capito,WV,Republican,11/26/53,11/26/53,F,400061,C001047,1676,N00009771,S372
John,Barrasso,WY,Republican,7/21/52,7/21/52,M,412251,B001261,1881,N00006236,S317
Michael,Enzi,WY,Republican,2/1/44,2/1/44,M,300041,E000285,1542,N00006249,S254
